"Cód Admin";"Cód Suc";"Desc";"Precio"
2504;196;MERM. FRUT DEL BOSQUE C.MIC;7459.990
4802;197;AC.VERDE FCO X 1 KG;9699.990
3848;198;CHIMI PICANTE H DEL CAMPO;0.000
0;199;PAN FARGO DIET X 690 GRS;260.000
0;200;PAN LACTEADO FARGO X 550 G;290.000
2321;201;GALLET BIZANTINA AVENA Y GI;0.000
2669;202;BATATA LATA ESNAOLA;5499.990
2663;203;BAT CON CHOCO LATA;5499.990
2658;204;BATATA CON GUINDA;7899.990
2678;205;MEMBRILLO ESNAOLA;6799.990
2641;206;BATATA CAJON;3099.990
2651;207;BAT CON CHOCO CAJON;3099.990
2637;208;MEMBRILLO CAJON;3799.990
3640;209;DDL X 250 GRS PAULINA;2399.990
3636;210;DDL X 400 GRS PAULINA;3099.990
2211;211;BOCADITOS DE HIGO C/NUEZ;399.990
4235;212;PAPAS CHEDDAR X 55 GRS;1499.990
0;213;PAN P/PANCHOS SACAAN;0.000
0;214;PAN P/HAMBURG SACAAN;0.000
4263;215;MANI RE PELADO SIN SAL;8599.990
5141;216;EST.CARTON TRUMPETER X 2 U;23499.990
4929;217;MOSTAZA NATURA X 250 G;1199.990
4484;218;PAN DULCE SIN FRUTAS;0.000
1033;219;ALMENDRAS PELADAS CHILENAS;45999.960
1034;220;NUECES PELADAS;41999.960
1323;221;TOMATE SECO;27499.950
0;222;COCA COLA X 500 ML;1900.000
4828;223;CHIMI PICANTE X 350 G VANOLI;2399.990
1010;224;PASAS DE UVA SULTANINAS;9249.900
1003;225;CIRUELAS PRES.S/CAROZO;19399.900
1002;226;CIRUELAS DAGEN S/CAROZO;10999.900
1001;227;CIRUELAS DAGEN C/CAROZO;9999.900
1004;228;PERAS WILLIAMS;18499.900
1044;229;MIX DE FRUTAS SECAS;23399.960
1005;230;OREJONES DE DURAZNO;23999.900
1009;231;PASAS DE UVA SUPER;10499.900
1040;232;FRUTAS GLASEADAS;17699.990
1011;233;PASAS DE UVA RUBIAS;13499.900
3297;234;PASTRON AHUMADO;47999.900
1023;235;MIX ESCOLAR;16399.960
3227;236;LOMO IBERICO;43999.900
1422;237;MIEL PREMIUM VIDRIO ALDEVA;5399.990
3515;238;LEVADURA FAMILIAR X 50 G;959.990
4035;239;ROMANITO;22599.990
1427;240;MIEL X 500G ALDEVA;2599.990
1428;241;MIEL CON DOSIFICADOR X 500G;0.000
1423;242;MIEL X 250G BELEN;1199.990
1062;243;MIX DE FRUTAS ESPECIAL;41199.960
1421;244;MIEL PREMIUM POTE ALDEVA;5199.990
4025;245;HUEVOS;1699.990
0;246;BONDIOLA ESF X 100 GRS;39299.900
3796;247;ACEITE DE OLIVA ZUELO EXTR VIR;16999.990
1454;248;MIEL ORGANIC LIQUIDA X 500;6999.990
2672;249;BATATA S/AZ SACH CORMILLOT X 4;0.000
2293;250;EST CART CIRCUS ROB MALB;5999.990
2993;251;POR SALUT UNT LIGHT PAULINA;2399.990
3923;252;MOZZARELLA DON FELIPE;0.000
5073;253;EST.DE MADERA RUTTINI X 3;0.000
0;254;VINO CARCASSONE;0.000
0;255;COCA COLA X 1.25 L;125.000
3222;256;BONDIOLA ESF X 1/4 KG;37199.960
0;257;PIONONO DON YEYO;0.000
2085;258;VINO SAN FELIPE TINTO;4899.990
2089;259;VINO SAN FELIPE BLANCO;4999.990
2384;260;PAN ESF TIPO BRIE;0.000
9085;261;ESP. LA VUELTA EXT. BRUT;1999.990
2081;262;MERM.FRUT ROJ S/AZUC CORMILLOT;4459.990
2382;263;PAN ESF MULTICEREAL;0.000
0;264;ESCARBADIENTES;0.000
0;265;TAPA EMP LA LUJANERA;0.000
2075;266;VINO NEW AGE;4699.990
2348;267;VINO TRUMPETER RES TEMPRANI;0.000
3006;268;QUESO CREMA DOBLE CREMA;0.000
0;269;MAPLE DE HUEVOS;6900.000
2645;270;MEMB. LIGHT S/AZUCAR CORMILLOT;2699.990
0;271;CERV. BRODA INDIAN PALE ALE;0.000
3849;272;SALSA AJI PICANTE H DEL CAMPO;0.000
0;273;COCA COLA X 473 ML;0.000
2065;274;VINO VALENTIN LACRADO;3099.990
0;275;COCA COLA LIGHT X 2.25L;200.000
0;276;GASEOSA CRUSH;9.990
1013;277;MIX PARA COMPOTA;0.000
3005;278;QUESO CREMA CIBOULETTE PAULINA;3099.990
0;279;PAN DHARMA GRANDE;3800.000
1039;280;PISTACHIO;76999.900
2008;281;VERMOUTH CINZANO ROSSO;8299.990
2006;282;GANCIA AMERICANO 1L;7799.990
0;283;COCA COLA X 2;4500.000
0;284;SPRITE S/A X 1,5L;125.000
0;285;COCA COLA VIDRIO X 330 N/R;50.000
4972;286;RECARGA PESCADOS SIN SAL;0.000
0;287;COCA COLA X 1.5 LT;140.000
2383;288;PAN ESF INT CON CENTENO;0.000
2536;289;CERV.ORANJEB LAGER LATA;0.000
2380;290;PAN ESF LACTEADO BCO;0.000
2996;291;QUESO UNT. 4 QUESOS PAULINA;2399.990
5119;292;EST CART TRUMPETER MALBEC;12099.990
3963;293;QUESO DE CABRA;55999.990
2124;294;VINO EST MENDOZA CABERNET;4599.990
3027;295;QUESO GOUDA;22999.990
3325;296;SALAME MILAN GIGANTE NAHUEL;23999.900
0;297;COCA COLA MINI LATA;50.000
3910;298;MOZZARELLA BOCCONCINI;37999.990
2381;299;PAN ESF CON SALVADO;0.000
3050;300;BURRATA;10999.990
0;301;GALL. DE ARROZ C/QUESO;0.000
0;302;GALL. DE ARROZ C/JAMON;25.000
1899;303;PAN ARABE INTEG ADSER;1799.990
2670;304;BATATA LIGHT CORMILLOT;0.000
2671;305;MEMBRILLO LIGHT CORMILLOT;0.000
4971;306;RECARGA DEL ASADOR;0.000
3977;307;POR SALUT S/SAL LA FINCA;10399.990
0;308;GATORADE X 500 ML;0.000
2204;309;VINO TRUMPETER ROSE RESERVA;11299.990
1127;310;PIMENTON;0.000
1125;311;AJI MOLIDO;0.000
1126;312;OREGANO;1649.900
1124;313;ADOBO PARA PIZZA;0.000
1128;314;PROVENZAL;0.000
1129;315;COMINO MOLIDO X KG;0.000
5107;316;TABLA EUCA PIZZA/PIC REDONDA;23999.990
1116;317;AZAFRAN ESPANOL;0.000
0;318;COCA COLA DE VIDRIO;2100.000
2178;319;VINO RUTINI CAB/MALB;15499.990
0;320;GALL.ESPECIALES STA MARIA;42.000
0;321;MEMBR.Y MEMBR.C/MANZANA;0.000
2210;322;VINO SADE CABERNET;4599.990
2207;323;VINO SADE MALBEC;4599.990
0;324;PEBETES DON YEYO;0.000
0;325;EST. RUTINI CABER/MALBEC;0.000
3421;326;MATAMBRITO DE CARNE CASERO;0.000
4495;328;PAN DULCE C/FRUT ORALI;0.000
3091;329;ARROLLADO DE POLLO CASERO;0.000
0;330;GALLETITAS P/CELIACOS;40.000
2615;331;MERM ARAND LIGHT LAS QUINAS;6999.990
0;332;SNACK DULCE S/GLUTEN;22.000
5140;333;EST. MADERA SAN FELIPE X 3;16299.990
1032;334;ALMENDRAS CON CHOCOLATE;7499.990
4249;335;PAPAS FRITAS SABOR JAMON SE;1499.990
2537;336;CERV.ORANJEB SUPER FUERTE LATA;0.000
2188;337;MERM. HIGO LIGHT CORMILLOT;0.000
0;338;CERV. BRODA SCOTTISH X 500 CC;0.000
3820;339;SALSA DE PIZZA VANOLI;1949.990
2613;340;MERM DUR LIGHT LAS QUINAS;6999.990
2310;341;GALLET BIZANTINA MATE;0.000
3153;342;JAMON NATURAL EST SAN FRANC;29999.900
5138;343;EST. ZUCCARDI SERIE A + COP;0.000
0;344;PROMO FERNET;0.000
4496;345;PAN DULCE S/FRUT ORALI;0.000
2614;346;MERM FRUT ROJ LIGHT LAS QUINAS;6999.990
2617;347;MERM FRUT LIGHT LAS QUINAS;6999.990
3810;348;SALSA SOJA VANOLI;1999.990
4330;349;BATATITAS NUEST SABORES;1399.990
0;350;GALLETITAS S/GLUTEN;40.000
2226;351;VINO CABO DE HORNOS MALBEC;4999.990
2835;352;NACHO REST MEX X 85 GRS;1999.990
5108;353;TABLA EUCA PIZZA/PIC CUADRADA;23999.990
2227;354;VINO CABO DE HORNOS MERLOT;0.000
0;355;PAN LACTEADO CHICO DON YEYO;0.000
2094;356;CHAMPAGNE TRUMPETER EXTRA B;10599.990
2225;357;VINO CABO DE HORNOS CABERNE;4999.990
3811;358;SALSA INGLESA VANOLI;3249.990
3967;359;QUESO CRIOLLO EST DE ORO;0.000
0;360;PROMOCION 13;7199.990
0;361;PROMOCION 9;8499.990
3812;362;SALSA AJI VANOLI;0.000
3065;363;QUESO MONTANES CABRAS ARG;99999.990
3813;364;SALSA DE HONGOS VANOLI;2499.990
3814;365;SALSA DE AJO VANOLI;2599.990
3191;366;GRISINES SALVADO ZIGRINATO;0.000
3815;367;SALSA FILETO VANOLI;1959.990
0;368;AGUA KIN X 5 LTS;190.000
3214;369;LOMO HORNEADO BOCATTI;34999.900
0;370;PROMO PICADA;0.000
0;371;RICOTTA CREMOSA;0.000
2061;372;MERM.DURAZNO S/AZUCAR CORMI;3099.990
2063;373;MERM.FRUTILLA S/AZUCAR CORM;4299.990
1094;374;QUESO TYBO AHUMADO;20599.990
4331;375;CHIPS MANDIOCA NUEST SABORES;1399.990
3313;376;SPIANATTA;47999.900
2232;377;VINO CRUZ ALTA CHARDONAY;0.000
0;378;CERVEZA PATAGONIA X 1L;235.000
3181;379;LONGANIZA PICANTE NAHUEL;31599.990
0;380;JAM.CRUDO PARMA APTO CELIAC;0.000
3816;381;SALSA POMAROLA VANOLI;1899.990
3818;382;CHIMICHURRI VANOLI;1859.990
3850;383;SALSA SOJA H DEL CAMPO;0.000
3819;384;CHIMICHURRI PICANTE VANOLI;0.000
2639;385;MERM BATATA S/AZUC CORMILLOT;0.000
1419;386;JALEA DE MEMBR.CORMILLOT;0.000
3806;387;TAPA EMP ORALI;1499.990
3030;388;VINO SAN FELIPE 12 UVAS;4999.990
3031;389;VINO SAN FELIPE ROSE MALBEC;0.000
4332;390;PAPAS RUSTICAS NUEST SABORES;1399.990
4333;391;REMOL Y BATATAS NUEST SABORES;0.000
1898;392;PAN ARABE COPETIN ADSER;1799.990
3149;393;JAM.CRUDO A LAS FIN. HIERBA;0.000
2182;394;CHAMP.TRUMP.ROSE EXT.BRUT;11899.990
2117;395;VINO S.FELIPE ROBLE MALBEC;5399.990
2118;396;VINO S.FELIPE ROBLE CABERNE;5399.990
3846;397;TAPA PASCUA CRIOLLA ORALI;1999.990
2123;398;VINO EST MENDOZA MALBEC;4599.990
3145;399;JAMON CRUDO DESHUESADO;57999.900
3155;400;JAM.COCIDO ITALIANO BOCATTI;28999.900
4334;401;CHIPS ZANAHORIAS NUEST SABORES;0.000
3161;402;JAM.COCIDO EST.SAN FRANCISC;22999.900
3120;403;JAM. CRUDO PARMA EST SAN FR;83599.900
3128;404;JAMON CRUDO NACIONAL;37999.900
3121;405;JAMON CRUDO PROMO X 1/4 KG.;21999.960
3226;406;BONDIOLA PROMO;29999.990
3210;407;LOMO AHUMADO;27599.900
3228;408;LOMO NATURAL AHUMADO;29999.900
0;409;PAPAS FRITAS S/GLUTEN;0.000
3119;410;JAMON CRUDO SERRANO;57999.900
0;411;PANC AHUMADA;0.000
2364;412;MERM. CORINTO C. MICO;0.000
3285;413;PANCETA TIERNIZADA;0.000
3093;414;MATAMBRE DE POLLO;0.000
3767;415;NUCREM GEORGALOS;20999.990
3320;416;SALAME CRESPON;0.000
3329;417;SALAME MILAN ESPANOL;42999.900
0;418;SALAMIN FINO 214;24999.990
0;419;SALAMIN GRUESO 214;24999.990
3178;420;LONGANIZA 214;0.000
0;421;REBOZADOR P/CELIACOS;0.000
3301;422;CANDELARIO;29999.990
3370;423;QUESO DE CERDO;13999.900
3235;424;MORTAD.BOCHA CALCHAQUI;12499.900
3001;425;FIAMBRIN;18999.900
3382;426;SALAME PEPERONI;33999.900
4072;427;QUESO EMMENTAL;0.000
4020;428;SARDO OFERTA;10399.990
0;429;CREMOSO X 1/2 HORMA;7299.990
0;430;ALFAJOR MATILDA;0.000
2503;431;MERM.FRAMBU C MICO;13199.990
4015;432;SARDO SAN FRANCISCO;21599.990
1254;433;COOKIES CHOCO C SEMILLAS;2399.990
4019;434;SARDO SEMI ESTACIONADO;0.000
4031;435;REGGIANITO PAULINA;34599.990
2505;436;MERM.FRUTILLA C MICO;7999.990
2510;437;MERM.MANZANA C MICO;5599.990
4077;438;FONTINA SAN ISIDRO;19399.990
4078;439;FONTINA SUIZO;25899.990
4107;440;GRUYERE;33599.990
4014;441;MAR DEL PLATA OFERTA;14299.990
4081;442;MAR DEL PLATA DE CAMPO;21699.990
4076;443;PATEGRAS PAULINA;23399.990
3914;444;MOZZARELLA OFERTA;8299.990
2125;445;VINO EST MENDOZA RES CABERNET;8499.990
0;446;PROMO PIZZA;0.000
2509;447;MERM.MOSQUETA C MICO;6699.990
5194;448;VINO RUTINI CAB FRANC MAL X750;1099.990
0;449;CUBANITOS VALMAIRA;45.000
4071;450;TALUHET;23199.990
0;451;CREMOSO LA PAULINA X 1/2 HO;7899.990
3956;452;CREMOSO PAULINA;8499.990
3981;453;PORT SALUT LA PAULINA;12199.990
3989;454;MAGRO SIN SAL PAULINA;11659.990
3352;455;SALCH.C/JAMON PROMO;9999.960
3351;456;SALCH.PRIMAVERA PROMO;9839.960
3165;457;JAMON COCIDO PROMO X 1/4KG.;14639.960
0;458;JAMON COCIDO PROMO X 100G;15999.900
2507;459;MERM.SAUCO C MICO;9499.990
2078;460;CONFIT. ARANDANO EL BOLSON;7769.990
3383;461;SALAME PROMO X 1/4;19199.960
0;462;SALAME PROMO X 100G;19999.900
0;463;MATAMBRE PROMO X 1/4;0.000
0;464;MATAMBRE PROMO X 100G;0.000
4088;465;BARRA PROMO;13599.960
4067;466;BARRA PAULINA;16499.900
3431;467;PALETA SANDWICHERA;0.000
3236;468;MORTADELA PROMOCION;8799.960
3909;469;MOZZARELLA ESPECIAL;0.000
0;470;PICADA ESPECIAL;4399.990
3616;471;RICOTTA;6199.990
2325;472;VINO CIRCUS ROBLE CABERNET;4499.990
3239;473;MORTADELA ITALIANA C/PISTA;22999.900
3983;474;PORT SALUT S/SAL DON FELIPE;0.000
3984;475;PORT SALUT EST SAN FRANCISCO;10599.990
0;476;JAM.CRUDO COLITA;9699.990
0;477;SALCH.C/JAMON PROMO X 100 G;10999.900
2107;478;VINO S.FELIPE ROBLE SYRAH;0.000
0;479;SALCH.PRIMA PROMO X 100 G;10599.900
1098;480;SARDO CON PIMIENTA;0.000
0;481;PAN PARA CELIACOS;0.000
0;482;SARDO ESF X  1/2 HORMA;18999.990
3376;483;SALAME MILAN BOCATTI;0.000
4060;484;ROQUEFORT SAN GOTARDO;0.000
4083;485;PROVOLETA PARRILLERA;23999.990
3130;486;JAM.CRUDO C/HUESO ENTERO;36999.900
2580;487;CERV BLEST BOCK X 355 CC;3499.990
3336;488;SALAME MILAN ESPECIAL;29999.900
2638;489;MERM. FRAMB CORMILLOT;3959.990
1990;490;PIZZETA INDIVIDUAL MALU;2399.990
3296;491;PANCETA SALADA;35999.900
3304;492;CRIOLLO 214;36499.990
2194;493;VINO P OASIS SUR PINOT NOIR;0.000
0;494;PROMOCION 4;9099.990
3829;495;TAPA EMP HOJALDRE ORALI;1499.990
0;496;PROMOCION 1;8399.990
0;497;PROMOCION 2;9999.990
0;498;PROMOCION 3;7199.990
4039;499;PARMESANO EST SAN FRANCISCO;30599.990
0;500;AGUA SMART WATER X 500 ML;1600.000
3107;501;LEBERWURST EN TRIPA;8399.990
3124;502;LONGA PURO CERDO ESF;0.000
4871;503;BERENJENAS MOLANES;0.000
2326;504;VINO CIRCUS ROBLE MALBEC;4499.990
3176;505;LONGANIZA SUPER;35999.990
0;506;BONDIOLA PROMO X 1/4 KG;28399.960
2059;507;MERM FRUT CORMILLOT;3199.990
2058;508;MERM DURAZ CORMILLOT;2499.990
3013;509;CAMEMBERT;7899.990
2665;510;POSTRE BOMBON;9599.990
4040;511;QUESO GOYA;32499.990
2612;512;MERM FRUT LAS QUINAS;5899.990
2584;513;CERV BLEST HONEY X 355 CC;3699.990
2581;514;CERV BLEST IPA X 355 CC;3699.990
3978;515;PORT SALUT DIET;0.000
4065;516;BARRA SAN FRANCISCO X 1/4;14499.960
3020;517;MATAMBRE ESPECIAL;0.000
0;518;BARRA SAN FRANCISCO X 100;15999.900
0;519;PROMOCION 5;8799.990
2327;520;VINO LOLA MONTES RED BLEND;4899.990
1412;521;MERM DURAZNO ESNAOLA;4699.990
3965;522;CREMOSO EST SAN FRANCISCO;8599.990
0;523;JAMON NATURAL PROMO X 1/4;20799.960
0;524;CEPITA X 300 CC;0.000
0;525;PROMO SALAME Y QUESO;6999.990
1255;526;COOKIES CHOCO C CHIPS;2399.990
3225;527;BONDIOLA ARTESANAL;42999.900
3822;528;SALSA POMAROLA LIGHT;0.000
3146;529;JAMON CRUDO DE LA CASA;54999.900
3229;530;LOMO HORNEADO;32999.900
4085;531;PROVOLONE;24999.990
3855;532;TAPA PASC HOJALD ORALI;1999.990
4106;533;PROVOLONE OFERTA;0.000
2223;534;VINO CRUZ ALTA BLEND;6999.990
2086;535;NEW AGE ESPU.EXTRA BRUT;0.000
2067;536;CONFIT.SAUCO EL BOLSON;9999.990
2057;537;CONFIT.MOSQUETA EL BOLSON;7199.990
2055;538;MERM.ARANDANO C MICO;7299.990
2054;539;MERM.CIRU C.MICO;5549.990
3840;540;SALSA P/PIZZA LIGHT VANOLI;1399.990
0;541;PAN LACTAL GDE VAL MAIRA;3200.000
3147;542;JAMON CRUDO DESHUESADO SERR;62999.900
3952;543;POR SALUT EQUIL. PAULINA X KG;10899.990
3109;544;SALCHICHA ALEMANA C/PIEL FR;17999.990
3110;545;SALCHICHA DEBRECZIN FRIOLIN;20499.990
0;546;PAN RUSTICO ART. VAL MAIRA;4199.990
2195;547;VINO PRIV J RUBIO CAB;8899.990
0;548;AGUA GLACIAR X 500CC;70.000
0;549;NATUPAN DOBLE INTEGRAL;3900.000
1047;550;MIX TROPICAL;22799.960
